f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,label
695.1041666666678,892.8666666666629,161.0333333333336,449.1244444444427,1171.897321428562,892.8666666666629,344.5848214285685,449.1244444444427,20.65416666666671,23.142222222222177,9.59166666666667,16.493333333333254,27.352678571428378,23.142222222222177,14.611607142857023,16.493333333333254,0.05789763881787437,0.04686723540913141,0.13301781918923544,0.08401406565976272,0.03453491344446088,0.04686723540913141,0.0845012038421572,0.08401406565976272,0.05017331074496781,0.05067446333773924,0.05360283470945232,0.05173531878587893,0.05138778764830908,0.05067446333773924,0.05263315233281896,0.05173531878587893,0.26768903956396933,0.07343017736477027,0.8372256537361998,0.5333872363800809,-0.2546107266171127,0.07343017736477027,0.6509548883322452,0.5333872363800809,0.45925245098039225,0.0777184732600971,0.4623008578431373,0.09051643968507912,0.38285845588235295,0.1015261481445721,0.5703125,unpaved
703.3375000000005,1153.4488888888843,283.2041666666672,439.3555555555534,1516.6116071428432,1153.4488888888843,782.3660714285639,439.3555555555534,21.037500000000055,27.315555555555445,12.720833333333367,16.111111111111065,32.39732142857117,27.315555555555445,21.937499999999797,16.111111111111065,0.04604747848794067,0.04232130386226967,0.09268614244720753,0.07853599478271295,0.03001421674846132,0.04232130386226967,0.0490126148091234,0.07853599478271295,0.04876958296133176,0.04978968111646223,0.04876958296133177,0.05125583375409223,0.050507627227609986,0.04978968111646223,0.05040888299391117,0.05125583375409223,0.7254238957839664,0.5316343927884408,0.8828667980236348,0.8210764344329774,0.4116430315624011,0.5316343927884408,0.6632471127789167,0.8210764344329774,0.5268075980392157,0.1467781450090728,0.5036764705882353,0.14199597894085245,0.4104779411764706,0.12129021069028818,0.7890625,unpaved
701.6583333333344,910.8666666666626,165.36666666666684,451.1199999999987,1208.5937499999902,910.8666666666626,359.45535714285387,451.1199999999987,20.150000000000052,22.866666666666582,9.608333333333352,15.973333333333272,27.950892857142613,22.866666666666582,14.535714285714173,15.973333333333272,0.06433724470051023,0.04339657185436519,0.14322005114655098,0.08917548484869893,0.03026560240437977,0.04339657185436519,0.0999325017810193,0.08917548484869893,0.0504321601537924,0.05038126243890926,0.05566828839953057,0.05351819812796545,0.05080270837830769,0.05038126243890926,0.05725783633205573,0.05351819812796545,0.16874031563561778,-0.07647446458336243,0.7981863484583949,0.4662725734500803,-0.38013820977281937,-0.07647446458336243,0.5655309707503802,0.4662725734500803,0.4333946078431373,0.06772335917028041,0.43838848039215694,0.08358691570953582,0.36672794117647056,0.09751019571169757,0.55859375,unpaved
340.3625000000007,519.7422222222194,206.59583333333347,383.8977777777756,876.0133928571373,519.7422222222194,424.64732142856866,383.8977777777756,13.587500000000013,16.57777777777773,10.937500000000007,14.751111111111076,21.602678571428424,16.57777777777773,15.808035714285603,14.751111111111076,0.08860642511472666,0.0603692786377566,0.09225124377125857,0.083556305903375,0.060584479582483045,0.0603692786377566,0.07292078723839686,0.083556305903375,0.05034602488997738,0.05173531878587892,0.04973890160963885,0.05305482838361453,0.050998480619623955,0.05173531878587892,0.05080270837830779,0.05305482838361453,0.8117716286127705,0.710305840851775,0.8806062939437324,0.7867692513839881,0.527165989176717,0.710305840851775,0.7516746336118826,0.7867692513839881,0.5461550245098039,0.1011421945022532,0.5196231617647058,0.1243350238290728,0.3794117647058824,0.11526072445580117,0.5234375,unpaved
82.13333333333345,121.15555555555483,203.23750000000032,323.20888888888743,209.91071428571314,121.15555555555483,433.9553571428545,323.20888888888743,6.775000000000024,8.284444444444423,10.395833333333336,13.19999999999997,11.24999999999996,8.284444444444423,15.455357142857032,13.19999999999997,0.17285004408418986,0.12914719192447655,0.11744513405107183,0.09705557440623971,0.08183224903919616,0.12914719192447655,0.07587059094091961,0.09705557440623971,0.057810153856298355,0.05717635702341572,0.054406520238335775,0.05524356842069328,0.05540032877674483,0.05717635702341572,0.05282214092053177,0.05524356842069328,0.8594664783253844,0.7931201129749368,0.65028617119702,0.43941958054032954,0.6392456288954796,0.7931201129749368,0.23304013356721687,0.43941958054032954,0.4818933823529412,0.062240659737546736,0.5449908088235293,0.06920572566994043,0.38152573529411765,0.07292175767982852,0.359375,unpaved
84.4583333333335,147.8311111111106,239.72083333333381,367.5733333333317,214.48214285714164,147.8311111111106,497.5312499999972,367.5733333333317,6.858333333333356,9.066666666666642,11.229166666666677,13.928888888888865,11.3571428571428,9.066666666666642,16.52232142857134,13.928888888888865,0.16653105686704783,0.1274057942165451,0.11188350281629508,0.09901206456431053,0.07482911284490333,0.1274057942165451,0.08204015427915824,0.09901206456431053,0.05559026693385969,0.05595412583117375,0.054645321035849986,0.05488484015657068,0.05412658773652736,0.05595412583117375,0.053849723579529954,0.05488484015657068,0.8590156190454111,0.7511624190765398,0.592861104813825,0.37342652897072315,0.6426284303414306,0.7511624190765398,0.1304055919189997,0.37342652897072315,0.4892310049019608,0.061865530109301556,0.553048406862745,0.07044119719124078,0.3907781862745099,0.07426849120578495,0.375,unpaved
59.24166666666676,120.58222222222194,173.61666666666687,222.7511111111105,131.5491071428564,120.58222222222194,289.7187499999986,222.7511111111105,5.958333333333357,8.084444444444424,8.766666666666687,9.666666666666634,8.7366071428571,8.084444444444424,11.736607142857078,9.666666666666634,0.16575232831096215,0.1372909476648283,0.14441113055027596,0.16168033834132528,0.10666145459256118,0.1372909476648283,0.13157891874378352,0.16168033834132528,0.06298423524096235,0.06102013430109296,0.060595998217704075,0.06142344427148971,0.06030917895583115,0.06102013430109296,0.06226038250438049,0.06142344427148971,0.793999723990347,0.5846104711184353,0.4049122446217995,0.22202120605400594,0.5351274469807986,0.5846104711184353,-0.036707522692129624,0.22202120605400594,0.5954503676470588,0.04240297629532414,0.5998621323529411,0.04834255693530523,0.4558823529411765,0.059237716652502985,0.21484375,unpaved
386.0166666666676,528.6577777777757,84.94583333333352,240.3955555555548,722.9196428571373,528.6577777777757,204.05357142856928,240.3955555555548,15.033333333333376,17.74222222222215,7.037500000000023,11.924444444444406,21.74999999999982,17.74222222222215,11.071428571428466,11.924444444444406,0.07877326018095675,0.06425528695149976,0.14841999828616093,0.09902630851337085,0.040648675879145446,0.06425528695149976,0.11150018725054792,0.09902630851337085,0.05025974200756168,0.05008634519815378,0.054724689735681877,0.05230489909306562,0.05070453880178764,0.05008634519815378,0.05263315233281899,0.05230489909306562,0.6330753285596152,0.49372868474672305,0.9229014783968644,0.7671974207057533,0.2726390718325844,0.49372868474672305,0.8128269762778223,0.7671974207057533,0.4721200980392157,0.09170432063881927,0.4558823529411765,0.09669358393086301,0.37166053921568626,0.09747782262853305,0.54296875,unpaved
310.59583333333455,528.7866666666631,171.57083333333355,212.27999999999943,743.9598214285654,528.7866666666631,463.09821428571007,212.27999999999943,12.52083333333335,15.791111111111066,9.56250000000001,11.284444444444421,19.52232142857128,15.791111111111066,15.62499999999988,11.284444444444421,0.10959676302589826,0.09673352809218362,0.11593532718354503,0.09982306301569538,0.0775152089918318,0.09673352809218362,0.09695450418479057,0.09982306301569538,0.05111601727660538,0.04988876515698572,0.05262221225131278,0.051448164012400766,0.05060617878908267,0.04988876515698572,0.050210811960722655,0.051448164012400766,0.751768253599284,0.5825766185664291,0.8679795001439273,0.8315343063593863,0.38581799533710115,0.5825766185664291,0.6473221245823667,0.8315343063593863,0.43938419117647054,0.0991513293897092,0.4662377450980392,0.10475093854040697,0.3098192401960784,0.09784017666087148,0.48828125,unpaved
176.12500000000017,370.01333333333105,217.69166666666706,141.46666666666593,417.73214285713965,370.01333333333105,479.1696428571396,141.46666666666593,9.383333333333336,12.591111111111056,10.591666666666672,8.106666666666637,14.374999999999893,12.591111111111056,15.526785714285626,8.106666666666637,0.13407873313970758,0.1166639290898207,0.13478309238187733,0.15164851802685064,0.09049213408527246,0.1166639290898207,0.09022892440771284,0.15164851802685064,0.053602834709452526,0.05434230782505524,0.054883082801331216,0.058033621587557926,0.05253840310687375,0.05434230782505524,0.05253840310687375,0.058033621587557926,0.89713809314417,0.7782928975948342,0.8692686381937128,0.9152030914229029,0.7565094976050248,0.7782928975948342,0.7055226049231502,0.9152030914229029,0.564859068627451,0.09625134792835516,0.5105698529411764,0.12573797783489732,0.38607536764705885,0.10687492618214185,0.33203125,unpaved
